symptom,aliases,question_type,response
stomach_pain,stomach ache|stomachache|stomach pain,assistance,"For mild stomach discomfort, rest and stay hydrated. Seek medical care if pain is severe, sudden, persistent, or associated with repeated vomiting, blood, fainting, or other concerning symptoms."
vomiting,vomit|vomitting|throwing up,symptoms,"Vomiting can occur with infections, food-related illness, medication effects, migraine, or other conditions. Repeated vomiting can lead to dehydration."
vomiting,vomit|vomitting|throwing up,assistance,"Take small amounts of fluid frequently if you can keep them down. Seek medical attention if vomiting is persistent, there are signs of dehydration, blood is present, or severe abdominal pain occurs."
nausea,feeling sick|sick feeling,symptoms,"Nausea is a feeling of needing to vomit and can occur with infections, digestive problems, medication effects, migraine, or other conditions."
nausea,feeling sick|sick feeling,assistance,"Try small amounts of clear fluids and avoid foods or smells that worsen nausea. Seek medical advice if nausea is persistent, severe, or associated with repeated vomiting or other concerning symptoms."
diarrhea,loose motion|loose motions|diarhea|diarrhoea,symptoms,"Diarrhea involves frequent loose or watery stools and can occur with infections, food-related illness, medication effects, or digestive conditions."
diarrhea,loose motion|loose motions|diarhea|diarrhoea,assistance,"Maintaining hydration is important when you have diarrhea. Seek medical attention if there is blood in the stool, severe dehydration, severe abdominal pain, persistent symptoms, or significant weakness."
dizziness,dizines|dizzyness|chakkar,symptoms,"Dizziness can describe lightheadedness, imbalance, or a spinning sensation. Causes can include dehydration, low blood pressure, medication effects, inner-ear problems, or other conditions."
dizziness,dizines|dizzyness|chakkar,assistance,"Sit or lie down safely if you feel dizzy and avoid driving or operating machinery. Seek urgent medical attention if dizziness occurs with fainting, chest pain, severe headache, weakness, difficulty speaking, or other serious symptoms."
weakness,weaknes|kamjori|tired|fatigue,symptoms,"Weakness or unusual tiredness can occur with infections, poor sleep, dehydration, nutritional problems, stress, or many other conditions."
weakness,weaknes|kamjori|tired|fatigue,assistance,"Rest and maintain adequate fluids and nutrition if you have mild weakness. If weakness is sudden, severe, one-sided, or associated with confusion, difficulty speaking, breathing problems, or fainting, seek urgent medical care."
breathing_problem,breathless|difficulty breathing|problem breathing|shortness of breath,symptoms,"Breathing difficulty can have many causes and can sometimes be serious. It may occur with respiratory infections, asthma, allergies, heart or lung conditions, or other problems."
breathing_problem,breathless|difficulty breathing|problem breathing|shortness of breath,assistance,"If you are having significant or worsening difficulty breathing, seek urgent medical attention rather than relying on a chatbot. Severe breathing difficulty, blue lips, confusion, or inability to speak normally because of breathlessness requires emergency care."
chest_pain,chest pain|chestpain|chest ache,symptoms,"Chest pain can have many causes, including muscle problems, digestive conditions, anxiety, and heart or lung problems. Some causes can be serious."
chest_pain,chest pain|chestpain|chest ache,assistance,"New, severe, or unexplained chest pain should be assessed urgently, especially if it occurs with difficulty breathing, sweating, fainting, nausea, or pain spreading to the arm, back, neck, or jaw."
rash,skin rash|itchy rash,symptoms,"A skin rash can have many causes, including allergies, infections, irritation, or other skin conditions. Appearance, location, duration, and associated symptoms are useful for assessment."
rash,skin rash|itchy rash,assistance,"Avoid known irritants and monitor a mild rash. Seek urgent medical care if a rash is rapidly spreading or occurs with facial swelling, difficulty breathing, fainting, or other signs of a severe allergic reaction."
hemoglobin,hemoglobin|haemoglobin|low hemoglobin|low haemoglobin|hb,symptoms,"Hemoglobin is a protein in red blood cells that carries oxygen. Low hemoglobin can be associated with tiredness, weakness, dizziness, pale skin, or shortness of breath. A blood test is needed to determine the hemoglobin level and help identify the cause."
hemoglobin,hemoglobin|haemoglobin|low hemoglobin|low haemoglobin|hb,assistance,"If you have been told that your hemoglobin is low, follow up with a healthcare professional to determine the cause. Iron deficiency is one possible cause, but other conditions can also contribute. Do not start iron supplements without appropriate medical advice."
anemia,anemia|anaemia,symptoms,"Anemia means the blood has a reduced ability to carry oxygen, commonly because of low hemoglobin. Symptoms can include tiredness, weakness, dizziness, pale skin, headache, or shortness of breath. The cause should be evaluated with appropriate medical tests."
anemia,anemia|anaemia,assistance,"If you suspect anemia or have been told your hemoglobin is low, consult a healthcare professional for evaluation. Treatment depends on the underlying cause, so self-treating with supplements is not always appropriate."
heart,heart pain|heart problem|heart ache,symptoms,"Heart-related problems can have different symptoms depending on the condition. Chest discomfort, shortness of breath, sweating, dizziness, or unusual tiredness can sometimes occur and should be medically assessed."
heart,heart pain|heart problem|heart ache,assistance,"New or severe chest discomfort, especially with breathing difficulty, sweating, fainting, nausea, or pain spreading to the arm, back, neck, or jaw requires urgent medical attention."
allergy,allergy|allergic reaction|allergic,symptoms,"Allergies can cause sneezing, runny nose, itching, watery eyes, skin rash, or swelling. Severe allergic reactions can cause breathing difficulty or facial and throat swelling."
allergy,allergy|allergic reaction|allergic,assistance,"Avoid known triggers when possible and monitor mild symptoms. Difficulty breathing, throat swelling, fainting, or rapidly worsening symptoms require emergency medical care."
infection,infection|infected|infection symptoms,symptoms,"Infections can cause symptoms such as fever, tiredness, pain, swelling, cough, vomiting, diarrhea, or other symptoms depending on the affected area."
infection,infection|infected|infection symptoms,assistance,"If you suspect an infection, monitor symptoms and seek medical advice when symptoms are severe, persistent, worsening, or associated with significant weakness or breathing difficulty."
constipation,constipation|constipated|hard stool,symptoms,"Constipation can involve infrequent bowel movements, hard stools, straining, abdominal discomfort, or a feeling of incomplete bowel movement."
constipation,constipation|constipated|hard stool,assistance,"Adequate fluids, dietary fiber, and regular physical activity can help mild constipation. Seek medical advice if constipation is severe, persistent, or associated with severe abdominal pain or vomiting."
acidity,acidity|acid reflux|heartburn|gastric,symptoms,"Acidity or acid reflux can cause burning discomfort in the chest or upper abdomen, sour taste, regurgitation, or symptoms after meals."
acidity,acidity|acid reflux|heartburn|gastric,assistance,"Avoid meals that trigger symptoms, avoid lying down soon after eating, and follow professional medical advice. Persistent or severe symptoms should be evaluated."
back_pain,back pain|backache|back ache,symptoms,"Back pain can result from muscle strain, posture, injury, or other conditions. Severity, duration, location, and associated symptoms are important."
back_pain,back pain|backache|back ache,assistance,"For mild back pain, gentle activity and avoiding activities that worsen pain may help. Seek urgent care if back pain occurs with weakness, numbness, loss of bladder or bowel control, or serious injury."
joint_pain,joint pain|joint ache|painful joints,symptoms,"Joint pain can occur with injuries, inflammation, arthritis, infections, or other conditions. Swelling, redness, stiffness, and duration provide useful context."
joint_pain,joint pain|joint ache|painful joints,assistance,"Rest the affected joint and avoid activities that worsen pain. Seek medical advice if pain is severe, persistent, associated with significant swelling, redness, fever, or injury."
toothache,toothache|tooth pain|dental pain,symptoms,"Toothache can cause pain or sensitivity around a tooth and may be related to tooth decay, gum problems, infection, or injury."
toothache,toothache|tooth pain|dental pain,assistance,"Arrange a dental assessment for persistent tooth pain. Facial swelling, difficulty swallowing or breathing, or rapidly worsening symptoms require urgent medical attention."
ear_pain,ear pain|earache|ear ache,symptoms,"Ear pain can occur with infections, pressure changes, irritation, injury, or other ear conditions. Hearing changes, discharge, or fever may provide additional context."
ear_pain,ear pain|earache|ear ache,assistance,"Avoid putting objects or unprescribed substances into the ear. Seek medical advice if ear pain is severe, persistent, associated with discharge, significant hearing loss, or fever."
eye_pain,eye pain|painful eye|eye ache,symptoms,"Eye pain can have many causes including irritation, infection, injury, or other eye conditions. Redness, vision changes, swelling, and light sensitivity may be important."
eye_pain,eye pain|painful eye|eye ache,assistance,"Avoid rubbing an irritated eye and seek medical assessment for persistent or significant pain. Sudden vision loss, serious eye injury, or severe eye pain requires urgent medical care."
