intent,question
symptom_assistance,I am experiencing shortness of breath
symptom_assistance,I am having loss of appetite
symptom_information,what are symptoms of blurred eyesight
symptom_assistance,I have night sweats
symptom_information,rash
symptom_information,what does joint pain feel like
disease_information,what causes cataract
medicine_information,loratadine
symptom_assistance,how can I treat night sweats
symptom_assistance,home remedy for hoarseness
symptom_information,what are symptoms of muscle cramps
disease_information,how common is hypertension
symptom_information,signs of weight loss
symptom_assistance,home remedy for excessive thirst
symptom_assistance,I think I have leg cramps
symptom_assistance,what should I do for dry mouth
prevention,how can I prevent covid-19
symptom_information,cough
symptom_assistance,what should I do for muscle pain
symptom_information,how do I know if I have runny nose
symptom_assistance,I have had heartburn for two days
disease_information,is psoriasis contagious
symptom_assistance,how can I get relief from confusion
symptom_assistance,I have had ringing in ears since yesterday
disease_information,how is chickenpox treated
symptom_information,what does headache feel like
symptom_information,what are symptoms of tongue swelling
symptom_information,what are symptoms of joint pain
symptom_assistance,I have had joint pain for two days
disease_information,is diabetes contagious
symptom_information,what are the signs of breathing problem
symptom_information,signs of back pain
disease_information,what causes thyroid disorder
disease_information,anxiety disorder
symptom_assistance,what medicine should I take for low blood pressure
symptom_assistance,I am experiencing sore throat
symptom_information,what are the signs of cough
symptom_information,is hoarseness serious
symptom_information,what are symptoms of eye pain
symptom_assistance,I have ear pain
symptom_information,what are the signs of bleeding gums
symptom_information,signs of low energy
disease_information,what causes diabetes
disease_information,how common is eczema
symptom_assistance,what medicine should I take for puffy eyes
symptom_assistance,what medicine should I take for vomiting
symptom_assistance,I have dry cough
symptom_assistance,I have had ringing in ears for two days
symptom_assistance,what medicine should I take for blurred vision
disease_information,what are the risk factors for allergy
symptom_assistance,I think I have ringing in ears
symptom_information,insomnia
medicine_information,what are the side effects of multivitamin
symptom_assistance,how can I get relief from cracked lips
medicine_information,can I take iron supplement without a prescription
disease_information,tell me about chickenpox
symptom_information,how do I know if I have low hemoglobin
nutrition,what should I eat for low hemoglobin
symptom_assistance,I think I have weight loss
symptom_assistance,I am experiencing sneezing
symptom_assistance,I am having back pain
symptom_assistance,I have watery eyes
symptom_information,signs of ear pain
symptom_assistance,I have been having diarrhea
symptom_information,what are symptoms of insomnia
medicine_information,is painkiller safe during pregnancy
symptom_assistance,how can I treat confusion
symptom_information,what are the symptoms of sore throat
symptom_assistance,I have had weakness for two days
symptom_assistance,I have been having fever
symptom_assistance,home remedy for swelling
symptom_assistance,I think I have blurred eyesight
emergency,someone fainted and won't wake up
disease_information,how long does hernia last
disease_information,how is sinus infection diagnosed
symptom_assistance,I am having swelling
symptom_information,signs of dark urine
symptom_information,what does puffy eyes feel like
disease_information,how common is hypothyroidism
symptom_information,is confusion serious
disease_information,how long does irritable bowel syndrome last
symptom_information,is night sweats serious
disease_information,what are the risk factors for depression
symptom_information,what are symptoms of ear pain
symptom_information,is blurred vision serious
symptom_information,leg pain
medicine_information,how does tablet work
symptom_assistance,home remedy for morning stiffness
symptom_assistance,I have had puffy eyes since yesterday
disease_information,what causes gastroenteritis
symptom_assistance,I am having weakness
nutrition,what should I eat during fever
symptom_information,signs of difficulty swallowing
symptom_assistance,I have been having heartburn
disease_information,what are the risk factors for kidney stones
disease_information,how long does celiac disease last
disease_information,how long does vertigo last
symptom_information,is fatigue serious
symptom_assistance,how can I treat earache
symptom_assistance,how can I treat chills
emergency,I think someone is having a heart attack
medicine_information,is calcium supplement safe during pregnancy
symptom_assistance,I am experiencing irregular heartbeat
disease_information,how is conjunctivitis diagnosed
medicine_information,what does antibiotics do
symptom_information,is excessive thirst serious
symptom_assistance,home remedy for yellow eyes
symptom_assistance,what medicine should I take for watery eyes
disease_information,what is gout
symptom_information,what are symptoms of sore throat
symptom_assistance,I am having swollen ankles
symptom_assistance,I have had loss of appetite since yesterday
symptom_assistance,how can I get relief from hair loss
medicine_information,side effects of amoxicillin
symptom_information,what does loss of appetite feel like
symptom_assistance,I have been having loss of taste
disease_information,tell me about celiac disease
symptom_information,what are symptoms of breathing problem
disease_information,how common is gastroenteritis
symptom_information,what are the signs of tingling sensation
disease_information,how long does glaucoma last
symptom_information,how do I know if I have ringing in ears
symptom_assistance,I am experiencing back pain
symptom_information,what are symptoms of earache
disease_information,how common is chickenpox
symptom_assistance,what should I do for difficulty swallowing
general_health,what is a normal blood pressure
disease_information,what is hernia
symptom_assistance,what should I do for mouth ulcers
symptom_assistance,what should I do for bruising easily
symptom_information,nosebleeds
disease_information,what causes appendicitis
symptom_assistance,I have had hair loss since yesterday
symptom_information,what are symptoms of bleeding gums
symptom_assistance,I am experiencing loss of smell
symptom_assistance,I have been having abdominal pain
symptom_assistance,I have had weakness since yesterday
medicine_information,how does medicine work
prevention,how can I prevent obesity
disease_information,urinary tract infection
disease_information,how common is jaundice
disease_information,how common is lactose intolerance
symptom_information,is dry cough serious
symptom_assistance,home remedy for loss of smell
symptom_assistance,what medicine should I take for weight gain
symptom_assistance,I have had gum pain since yesterday
symptom_assistance,I have acid reflux
symptom_assistance,I have had nosebleeds for two days
symptom_assistance,I am having chest pain
disease_information,how is sinusitis diagnosed
symptom_assistance,I am experiencing gum pain
symptom_assistance,I have been having numbness
medicine_information,can I take painkiller without a prescription
disease_information,depression
symptom_assistance,I have had wet cough for two days
disease_information,how long does hypotension last
symptom_information,is swollen ankles serious
symptom_information,signs of bruising easily
symptom_information,is stomach pain serious
nutrition,how can I improve my nutrition
symptom_information,how do I know if I have earache
symptom_assistance,I have had cold hands and feet since yesterday
symptom_assistance,I have had headache for two days
medicine_information,how does vitamin D work
symptom_assistance,I think I have numbness
disease_information,what are the risk factors for covid-19
disease_information,thyroid disorder
symptom_assistance,I have had tingling sensation since yesterday
medicine_information,what is naproxen
symptom_assistance,what medicine should I take for back pain
symptom_assistance,I have dry skin
disease_information,is pneumonia contagious
symptom_assistance,how can I get relief from leg pain
disease_information,what causes obesity
symptom_assistance,what medicine should I take for dizziness
disease_information,how is arthritis treated
disease_information,what causes anxiety disorder
symptom_information,signs of cold
disease_information,is anemia curable
disease_information,how common is hyperthyroidism
symptom_assistance,how can I treat chest pain
symptom_assistance,I am having mouth ulcers
disease_information,arthritis
symptom_information,signs of earache
disease_information,how common is gout
symptom_assistance,I am experiencing muscle pain
symptom_information,cracked lips
medicine_information,what is antibiotics used for
symptom_information,what does loss of taste feel like
symptom_information,what are the symptoms of body pain
symptom_assistance,I have been having leg pain
disease_information,how is migraine treated
symptom_information,what are the signs of excessive sleepiness
symptom_assistance,I am experiencing dry skin
symptom_assistance,what should I do for eye pain
disease_information,what causes hypothyroidism
symptom_assistance,I have frequent urination
emergency,I am having difficulty breathing
disease_information,how common is thyroid disorder
symptom_information,low blood pressure
symptom_assistance,what medicine should I take for heartburn
symptom_information,what are symptoms of low hemoglobin
symptom_information,how do I know if I have leg cramps
symptom_information,is mouth ulcers serious
symptom_assistance,I have eye pain
symptom_information,is low blood pressure serious
symptom_assistance,what should I do for blurred vision
symptom_assistance,how can I get relief from anxiety
medicine_information,what is tablet
symptom_assistance,how can I treat tongue swelling
symptom_assistance,how can I treat sweating
disease_information,how is psoriasis diagnosed
symptom_assistance,I am experiencing low energy
symptom_assistance,I have been having dark urine
symptom_assistance,home remedy for mouth ulcers
symptom_assistance,home remedy for gum pain
symptom_assistance,I am experiencing eye pain
disease_information,what are the risk factors for obesity
symptom_assistance,what medicine should I take for confusion
symptom_assistance,I have had leg pain for two days
disease_information,what causes lactose intolerance
symptom_assistance,I have excessive thirst
symptom_information,what are the signs of numbness
symptom_assistance,I have had runny nose since yesterday
symptom_assistance,I am having dry mouth
symptom_assistance,how can I treat cold hands and feet
symptom_assistance,I am having cough
symptom_assistance,I have been having low energy
symptom_information,what are symptoms of leg pain
disease_information,how is eczema treated
symptom_information,how do I know if I have swollen glands
disease_information,how is eczema diagnosed
disease_information,how is migraine diagnosed
symptom_information,signs of memory problems
symptom_assistance,I have had loss of appetite for two days
emergency,I need emergency medical help
symptom_information,what are the symptoms of jaw pain
symptom_information,signs of abdominal pain
symptom_assistance,how can I get relief from ear pain
medicine_information,what does calcium supplement do
symptom_assistance,what should I do for tingling sensation
disease_information,what is kidney stones
symptom_assistance,I think I have irritability
symptom_information,what are the symptoms of bleeding gums
symptom_assistance,I have been having memory problems
symptom_information,what are symptoms of loss of smell
symptom_assistance,what medicine should I take for low energy
symptom_assistance,I am experiencing leg cramps
symptom_information,what does vomiting feel like
symptom_information,confusion
symptom_assistance,what should I do for heartburn
medicine_information,what does ibuprofen do
disease_information,what is typhoid
symptom_assistance,I think I have joint pain
disease_information,is diabetes curable
symptom_information,itching
symptom_assistance,I am having mood swings
nutrition,what should I eat for weight loss
symptom_assistance,home remedy for rash
general_health,what is a healthy lifestyle
symptom_assistance,I am experiencing wheezing
disease_information,what is psoriasis
symptom_assistance,how can I treat toothache
symptom_information,is runny nose serious
symptom_assistance,I have been having confusion
symptom_information,what are the signs of sweating
medicine_information,side effects of cetirizine
symptom_information,how do I know if I have loss of smell
symptom_information,what does dry cough feel like
symptom_assistance,I have had cold since yesterday
symptom_assistance,I have been having bloating
symptom_assistance,how can I treat vomiting
symptom_information,what are the symptoms of excessive thirst
symptom_assistance,I have itching
symptom_assistance,how can I get relief from back pain
symptom_assistance,how can I treat shortness of breath
symptom_information,is blurred eyesight serious
symptom_assistance,I have had low energy since yesterday
symptom_assistance,how can I treat irregular heartbeat
disease_information,what causes flu
medicine_information,what is amoxicillin used for
symptom_assistance,how can I get relief from yellow skin
symptom_assistance,I am having shortness of breath
disease_information,tuberculosis
symptom_assistance,how can I get relief from dizziness
medicine_information,what is cetirizine used for
disease_information,how common is anemia
symptom_assistance,how can I treat blurred vision
prevention,how can I stay healthy and prevent disease
disease_information,anemia
emergency,signs of a stroke
disease_information,how is hepatitis treated
symptom_assistance,how can I treat low blood pressure
symptom_assistance,I have had fatigue since yesterday
disease_information,what causes dengue
general_health,what is a healthy BMI
disease_information,what are the risk factors for hypertension
emergency,someone is having a seizure
symptom_assistance,I have had irregular heartbeat since yesterday
disease_information,cataract
symptom_information,what does swollen ankles feel like
symptom_information,weight gain
symptom_assistance,I have had acid reflux for two days
symptom_information,what are symptoms of weakness
symptom_information,how do I know if I have eye pain
symptom_assistance,I have had cold for two days
medicine_information,can I take amoxicillin without a prescription
symptom_information,what are the signs of neck pain
disease_information,what are the risk factors for diabetes
symptom_information,what are the signs of ringing in ears
disease_information,how is gastroenteritis treated
disease_information,is hypothyroidism contagious
symptom_information,what are the symptoms of confusion
symptom_assistance,how can I get relief from eye pain
medicine_information,is antihistamine safe during pregnancy
disease_information,is chronic kidney disease contagious
symptom_assistance,home remedy for wheezing
symptom_assistance,I have had blurred vision for two days
disease_information,how is typhoid diagnosed
disease_information,tell me about chronic kidney disease
symptom_assistance,home remedy for facial swelling
symptom_assistance,I am experiencing cough
medicine_information,can I take calcium supplement without a prescription
disease_information,how is irritable bowel syndrome treated
symptom_information,what are symptoms of anxiety
symptom_assistance,I have had sweating for two days
disease_information,pneumonia
disease_information,is gout curable
disease_information,how long does jaundice last
symptom_information,cold
symptom_assistance,how can I get relief from difficulty swallowing
symptom_assistance,I have tongue swelling
disease_information,how is lactose intolerance diagnosed
medicine_information,side effects of antacid
symptom_information,what are the signs of hair loss
medicine_information,how does azithromycin work
disease_information,how is depression diagnosed
symptom_assistance,I have been having sweating
disease_information,how common is sinus infection
disease_information,how long does covid-19 last
symptom_information,how do I know if I have mouth ulcers
symptom_information,what are the signs of diarrhea
medicine_information,painkiller
symptom_assistance,home remedy for swollen ankles
symptom_assistance,what medicine should I take for difficulty swallowing
symptom_assistance,how can I get relief from yellow eyes
disease_information,what is covid-19
symptom_assistance,I have been having vomiting
symptom_assistance,how can I treat sneezing
symptom_assistance,I think I have chest pain
symptom_assistance,I think I have dry mouth
medicine_information,side effects of vitamin C
symptom_assistance,how can I get relief from frequent urination
disease_information,how is hypertension diagnosed
nutrition,healthy diet
symptom_information,signs of loss of smell
symptom_assistance,what medicine should I take for palpitations
prevention,how can I reduce the risk of high blood pressure
symptom_information,what does palpitations feel like
symptom_assistance,I have had dry mouth since yesterday
disease_information,what causes urinary tract infection
disease_information,tell me about hypotension
symptom_assistance,I am experiencing dry cough
symptom_information,what are the symptoms of chest tightness
symptom_assistance,I am having muscle cramps
symptom_assistance,how can I get relief from tingling sensation
disease_information,what is dengue
disease_information,covid-19
symptom_assistance,I have had difficulty swallowing for two days
general_health,how can I quit smoking
symptom_assistance,I have been having tingling sensation
symptom_assistance,what should I do for ringing in ears
symptom_information,what does irritability feel like
disease_information,what causes allergy
medicine_information,side effects of ibuprofen
symptom_assistance,I think I have memory problems
symptom_assistance,home remedy for puffy eyes
symptom_assistance,I am having leg cramps
symptom_information,what are the symptoms of irritability
symptom_information,how do I know if I have insomnia
symptom_assistance,I have been having loss of appetite
symptom_information,what are the symptoms of dark urine
symptom_information,what are the symptoms of loss of taste
symptom_information,signs of leg cramps
disease_information,how is irritable bowel syndrome diagnosed
medicine_information,is antibiotics safe during pregnancy
prevention,how can I prevent malaria
symptom_assistance,what should I do for jaw pain
symptom_assistance,how can I treat body pain
symptom_assistance,I have had body pain for two days
symptom_assistance,home remedy for sneezing
disease_information,how long does flu last
symptom_information,how do I know if I have headache
medicine_information,how does amoxicillin work
symptom_assistance,I have been having nosebleeds
symptom_assistance,home remedy for memory problems
symptom_information,what are the symptoms of excessive sleepiness
medicine_information,is syrup safe during pregnancy
symptom_assistance,I am having low energy
medicine_information,what does insulin do
symptom_assistance,what medicine should I take for toothache
disease_information,is covid-19 contagious
medicine_information,azithromycin
symptom_assistance,I think I have abdominal pain
symptom_assistance,I feel weak
symptom_assistance,I have had sweating since yesterday
medicine_information,what is syrup used for
symptom_information,mouth ulcers
disease_information,how is rubella diagnosed
symptom_assistance,I have had eye pain since yesterday
symptom_assistance,home remedy for breathing problem
disease_information,what is celiac disease
symptom_information,loss of smell
symptom_information,difficulty swallowing
symptom_information,what are the signs of mouth ulcers
symptom_assistance,home remedy for dry mouth
general_health,how much water should I drink
symptom_assistance,I think I have neck pain
disease_information,tell me about glaucoma
medicine_information,can I take diclofenac without a prescription
symptom_information,what are symptoms of rash
prevention,disease prevention
symptom_assistance,I have had loss of taste since yesterday
disease_information,tell me about acne
symptom_assistance,I am experiencing sweating
symptom_assistance,I think I have cold hands and feet
disease_information,celiac disease
disease_information,is migraine contagious
disease_information,how is hypotension treated
symptom_information,how do I know if I have bruising easily
medicine_information,side effects of calcium supplement
disease_information,is depression curable
medicine_information,side effects of diclofenac
symptom_information,what does dizziness feel like
symptom_information,how do I know if I have mood swings
prevention,how can I prevent food allergies
symptom_assistance,home remedy for dizziness
symptom_information,what are the signs of weight loss
symptom_information,foot pain
symptom_assistance,I am having yellow eyes
medicine_information,what is diclofenac
symptom_assistance,I am having headache
disease_information,is measles contagious
symptom_assistance,I have muscle cramps
emergency,someone is unconscious
symptom_assistance,I am having abdominal pain
symptom_information,signs of dry cough
disease_information,what is tonsillitis
symptom_assistance,how can I treat high blood pressure
symptom_information,is morning stiffness serious
symptom_assistance,I am experiencing acid reflux
symptom_information,signs of yellow skin
symptom_information,is swelling serious
medicine_information,what is aspirin
symptom_assistance,I have loss of smell
symptom_information,how do I know if I have swelling
medicine_information,what is cough syrup
symptom_information,what are symptoms of back pain
symptom_assistance,I feel dizzy
symptom_information,what are the signs of weight gain
symptom_assistance,how can I get relief from fever
disease_information,diabetes
symptom_assistance,how can I get relief from chest tightness
disease_information,how is hypothyroidism diagnosed
disease_information,is fatty liver disease curable
disease_information,what is sinusitis
symptom_assistance,what should I do for dark urine
symptom_information,signs of ringing in ears
symptom_assistance,I am experiencing low hemoglobin
disease_information,how common is acne
medicine_information,what does multivitamin do
medicine_information,can I take antibiotic without a prescription
symptom_information,is joint pain serious
symptom_assistance,I have had palpitations for two days
symptom_assistance,what should I do for hoarseness
symptom_information,what are the symptoms of dry skin
symptom_information,what are the symptoms of memory problems
medicine_information,what does antiseptic cream do
symptom_information,how do I know if I have acid reflux
symptom_assistance,I am experiencing heartburn
medicine_information,can I take aspirin without a prescription
disease_information,is tuberculosis contagious
symptom_assistance,I am having toothache
symptom_assistance,how can I treat loss of taste
general_health,how can I reduce stress
symptom_assistance,I have had cough since yesterday
prevention,prevent diabetes
symptom_information,what does bloating feel like
medicine_information,what are the side effects of azithromycin
symptom_assistance,how can I treat tingling sensation
nutrition,foods for low hemoglobin
symptom_assistance,what medicine should I take for bloating
symptom_assistance,what medicine should I take for excessive sleepiness
disease_information,how is hernia treated
symptom_assistance,I am having leg pain
symptom_information,how do I know if I have toothache
symptom_information,what are the symptoms of mouth ulcers
symptom_assistance,how can I get relief from dark urine
medicine_information,acetaminophen
symptom_information,signs of joint pain
disease_information,hypothyroidism
medicine_information,omeprazole
disease_information,what are the risk factors for lactose intolerance
symptom_information,what are the signs of toothache
symptom_information,morning stiffness
disease_information,is mumps curable
symptom_information,how do I know if I have palpitations
symptom_assistance,I am having heartburn
disease_information,tell me about conjunctivitis
symptom_assistance,I think I have tingling sensation
disease_information,how is diabetes diagnosed
disease_information,how is allergy diagnosed
symptom_assistance,what medicine should I take for swelling
disease_information,how is tonsillitis treated
symptom_information,what are the signs of confusion
symptom_information,what are symptoms of heartburn
symptom_information,what does weakness feel like
symptom_assistance,how can I treat chest tightness
symptom_information,what does stomach pain feel like
symptom_information,what are the signs of wheezing
symptom_assistance,I have confusion
symptom_assistance,how can I get relief from dry skin
symptom_information,what does wheezing feel like
disease_information,what causes asthma
disease_information,what are the risk factors for fatty liver disease
disease_information,bronchitis
symptom_assistance,I have had joint pain since yesterday
medicine_information,what are the side effects of cough syrup
symptom_assistance,I have had irritability for two days
disease_information,kidney disease
medicine_information,what is painkiller used for
symptom_assistance,what should I do for wheezing
disease_information,tell me about psoriasis
prevention,how can I prevent heart disease
symptom_assistance,I have had chills for two days
disease_information,how long does thyroid disorder last
symptom_information,chest tightness
disease_information,is chickenpox contagious
medicine_information,can I take cetirizine without a prescription
disease_information,what are the risk factors for vertigo
symptom_information,vomiting
symptom_assistance,I am experiencing palpitations
symptom_assistance,home remedy for bleeding gums
disease_information,what causes stomach ulcer
symptom_information,how do I know if I have abdominal pain
symptom_assistance,how can I treat yellow skin
symptom_assistance,I have been having morning stiffness
disease_information,what are the risk factors for gastritis
symptom_information,what are the signs of low blood pressure
symptom_information,what are the symptoms of yellow skin
medicine_information,side effects of multivitamin
symptom_assistance,I think I have swollen glands
symptom_information,what are the signs of vomiting
symptom_information,what are the symptoms of earache
symptom_information,is hair loss serious
disease_information,how common is tonsillitis
disease_information,how long does bronchitis last
disease_information,is kidney stones curable
emergency,someone swallowed something dangerous
symptom_assistance,I am experiencing loss of appetite
symptom_assistance,I think I have low energy
symptom_assistance,I am having gum pain
symptom_information,what are symptoms of loss of appetite
symptom_information,signs of swelling
symptom_assistance,I think I have mouth ulcers
disease_information,tell me about stomach ulcer
disease_information,tell me about asthma
medicine_information,what are the side effects of diclofenac
symptom_assistance,what should I do for puffy eyes
symptom_assistance,I have been having weight gain
symptom_assistance,what should I do for anxiety
symptom_assistance,I think I have constipation
symptom_assistance,I have fever
symptom_assistance,I think I have low hemoglobin
symptom_assistance,I have puffy eyes
symptom_information,is sweating serious
symptom_assistance,I have had weight gain since yesterday
disease_information,is arthritis curable
symptom_information,what are symptoms of constipation
symptom_assistance,what should I do for low hemoglobin
symptom_information,what are the signs of fever
disease_information,how is cataract diagnosed
symptom_assistance,how can I get relief from vomiting
symptom_information,how do I know if I have yellow skin
disease_information,how is flu treated
symptom_information,what are the symptoms of puffy eyes
symptom_assistance,I have had excessive sleepiness for two days
medicine_information,what is vitamin C used for
medicine_information,how does paracetamol work
symptom_assistance,I am having rash
disease_information,what is food poisoning
disease_information,is hernia curable
symptom_assistance,I have had breathing problem for two days
disease_information,how long does chickenpox last
symptom_assistance,I have fatigue
symptom_information,how do I know if I have tingling sensation
symptom_information,signs of stomach pain
medicine_information,what is omeprazole
disease_information,is celiac disease contagious
medicine_information,what is loratadine used for
disease_information,hypotension
symptom_information,what are symptoms of irregular heartbeat
disease_information,is pneumonia curable
symptom_assistance,I think I have nosebleeds
disease_information,typhoid
symptom_assistance,what medicine should I take for muscle cramps
nutrition,what foods are rich in iron
symptom_information,is loss of appetite serious
symptom_information,what are the signs of leg cramps
medicine_information,what are the side effects of vitamin D
disease_information,chickenpox
symptom_information,what are the signs of runny nose
symptom_assistance,I have had irritability since yesterday
disease_information,how common is urinary tract infection
symptom_information,what are the signs of facial swelling
symptom_assistance,I am experiencing weakness
disease_information,how is lactose intolerance treated
symptom_information,what does acid reflux feel like
disease_information,how common is migraine
symptom_information,what are symptoms of chest pain
medicine_information,what does tablet do
symptom_assistance,I am experiencing confusion
symptom_assistance,home remedy for watery eyes
medicine_information,is antacid safe during pregnancy
symptom_information,chills
symptom_information,what are the signs of irregular heartbeat
prevention,how can I prevent diabetes
symptom_information,bruising easily
symptom_assistance,what medicine should I take for loss of smell
disease_information,how common is dengue
medicine_information,how does cough syrup work
symptom_assistance,I have been having irritability
general_health,what are healthy habits
symptom_assistance,I think I have night sweats
symptom_information,what are symptoms of puffy eyes
symptom_information,is neck pain serious
symptom_information,is wheezing serious
symptom_information,what does cracked lips feel like
symptom_assistance,I have been having hoarseness
symptom_assistance,I have had yellow skin since yesterday
symptom_information,what are the symptoms of sweating
disease_information,how is asthma treated
symptom_assistance,how can I treat swelling
symptom_information,what does stiff neck feel like
general_health,what is a normal heart rate
symptom_information,signs of frequent urination
symptom_information,fever
nutrition,nutrition
symptom_assistance,what medicine should I take for tingling sensation
symptom_information,signs of toothache
medicine_information,what is antacid used for
disease_information,what causes piles
symptom_information,what are the symptoms of sneezing
symptom_information,sweating
symptom_assistance,how can I treat neck pain
symptom_assistance,how can I treat dizziness
disease_information,how is kidney stones diagnosed
symptom_information,what are the signs of puffy eyes
symptom_assistance,what medicine should I take for dry skin
symptom_assistance,I am experiencing hair loss
symptom_assistance,I have been having runny nose
symptom_assistance,I have had high blood pressure since yesterday
symptom_information,what are symptoms of numbness
disease_information,is covid-19 curable
nutrition,what foods help with digestion
symptom_assistance,how can I treat irritability
disease_information,how is osteoporosis diagnosed
symptom_information,what are the symptoms of swelling
symptom_assistance,I have been having blurred eyesight
symptom_assistance,I have been having shortness of breath
symptom_information,what are the symptoms of swollen ankles
symptom_assistance,I have had swollen ankles for two days
symptom_assistance,how can I treat acid reflux
symptom_information,what are the signs of difficulty swallowing
disease_information,what causes chickenpox
disease_information,is tuberculosis curable
prevention,how can I prevent eye infections
symptom_assistance,what should I do for facial swelling
symptom_information,hoarseness
symptom_information,signs of swollen glands
symptom_assistance,home remedy for anxiety
disease_information,how is cold diagnosed
symptom_assistance,what medicine should I take for mood swings
symptom_assistance,I am having high temperature
general_health,how can I improve my health
symptom_information,bleeding gums
symptom_assistance,I have been having itching
disease_information,gastritis
symptom_assistance,home remedy for weight loss
symptom_information,what are symptoms of diarrhea
symptom_assistance,what should I do for low blood pressure
symptom_information,what does wet cough feel like
symptom_information,signs of bleeding gums
symptom_information,what does weight gain feel like
disease_information,tell me about hyperthyroidism
symptom_assistance,I am experiencing night sweats
symptom_assistance,what should I do for swollen joints
symptom_information,signs of high temperature
symptom_assistance,what medicine should I take for dry mouth
disease_information,what causes rubella
symptom_assistance,what medicine should I take for blurred eyesight
symptom_assistance,I think I have earache
symptom_assistance,I have runny nose
symptom_assistance,I am experiencing high blood pressure
symptom_information,signs of sweating
symptom_information,is ringing in ears serious
prevention,how can I prevent the common cold
symptom_assistance,home remedy for palpitations
prevention,how can I prevent anemia
symptom_information,is sneezing serious
disease_information,conjunctivitis
symptom_assistance,I have been having sore throat
disease_information,what are the risk factors for hepatitis
symptom_assistance,I have had chills since yesterday
symptom_information,is gum pain serious
symptom_assistance,I am having dizziness
symptom_information,what does dry mouth feel like
symptom_assistance,I am having fever
symptom_information,what are the signs of night sweats
symptom_assistance,I have been having rash
symptom_assistance,I have had muscle pain since yesterday
symptom_information,is earache serious
medicine_information,ORS solution
symptom_assistance,I have a headache
disease_information,how is mumps treated
symptom_assistance,I am experiencing tongue swelling
symptom_information,anxiety
disease_information,how long does hypertension last
symptom_assistance,I have chills
symptom_information,signs of blurred vision
symptom_information,is chest tightness serious
symptom_information,what are symptoms of bruising easily
symptom_assistance,I have low energy
disease_information,how long does diabetes last
symptom_information,what are the signs of morning stiffness
disease_information,how is chronic kidney disease treated
medicine_information,how does antiseptic cream work
symptom_information,what are the symptoms of wet cough
disease_information,what causes hypertension
symptom_assistance,I think I have body pain
medicine_information,how does antibiotic work
symptom_information,signs of irritability
disease_information,how long does hypothyroidism last
symptom_assistance,I have had earache since yesterday
symptom_information,how do I know if I have excessive thirst
symptom_information,what are the symptoms of cough
symptom_assistance,how can I get relief from insomnia
symptom_assistance,home remedy for cough
medicine_information,side effects of syrup
symptom_assistance,what should I do for bleeding gums
symptom_assistance,what should I do for itching
disease_information,what are the risk factors for bronchitis
symptom_information,what does rash feel like
symptom_information,what does nosebleeds feel like
symptom_information,how do I know if I have stomach pain
symptom_assistance,I have stomach pain
medicine_information,side effects of antiseptic cream
symptom_assistance,I have had low blood pressure for two days
symptom_information,irritability
symptom_assistance,home remedy for neck pain
symptom_assistance,I am experiencing chest pain
symptom_information,what are the symptoms of leg cramps
symptom_information,what does swollen glands feel like
disease_information,what are the risk factors for hyperthyroidism
symptom_assistance,how can I treat mood swings
symptom_information,what are the symptoms of vomiting
medicine_information,cetirizine
medicine_information,is amoxicillin safe during pregnancy
