question,category,ai_intent,ai_medical_relevance
Sarjan doctor ko OPD mein dikhana Hai ladiss Ko,opd,information_seeking,high
want appointment of Dr Rajesh Verma,appointment,scheduling,medium
what is the requirements for the MHA program,courses,information_seeking,medium
I want bpt 2026 admission information,admissions,information_seeking,high
I want to apply for assistance lecture I am fresher and done my degree in nursing .....,courses,information_seeking,medium
Hey i want to take admission in kgmu in bmrit cousre,admissions,information_seeking,medium
"Non teaching staff ka form jo 2024 me fill Kiya gya tha ,lab technician ka exam kab tak hone ki sambhawna hai",exams,scheduling,medium
How can i book appointment un rheumatologist,appointment,scheduling,medium
Password nhi h phir kese kare,general,information_seeking,medium
"Nursing officer level 7 examination city ? Registration no ""0096887286"".",appointment,information_seeking,medium
tell me about dr zain ahmad who is a general surgeon,faculty,information_seeking,high
How many seat in kgmu for bpt,admissions,information_seeking,medium
Kgmu bsc nursing total fees,fees,information_seeking,medium
Mai up se hu Lakhimpur kheri se mujhe dmlt course ke admission lena h,admissions,information_seeking,high
I want to do intership in kgmu as a radiographer,general,information_seeking,high
Today opd open or close,opd,scheduling,medium
मरीज को opd में कैसे दिखाई,opd,information_seeking,medium
Addmission kab tak hoga,general,information_seeking,medium
Is there a ot technician course without neet ot entrance exam,admissions,information_seeking,medium
is admission still open for BPT,admissions,information_seeking,medium
Neuro doctor ko dikhana hai,general,information_seeking,high
Aadmiton krvana h diploma course me,courses,information_seeking,medium
How to book appointments by call,appointment,information_seeking,high
I want to take addmission for bsc radiology and imaging technology,departments,information_seeking,medium
Assistant professor social work Kgmu,faculty,information_seeking,high
When is the Nursing Officer recruitment exam?,exams,information_seeking,medium
Paramedical department ke sir se milna hai mere ko,departments,navigation,high
I wants to meet dr. Puneet Kumar Rheumatologist,general,information_seeking,medium
New OPD block me online parchi kaha lagta hai maine to bus offline walo ko he dekha hai,opd,information_seeking,high
How you can help me please tell me 1st then I will ask you,general,information_seeking,medium
Bsc nursing fee,fees,information_seeking,medium
mujhe appointment ke liye phone number chahiye,appointment,scheduling,medium
How to access one nation one subscription,general,information_seeking,medium
Bmlt course fees,fees,information_seeking,medium
admission ke bare me,admissions,information_seeking,medium
what is the contact no mri Shatabdi,contact,information_seeking,high
Access ONOS,general,information_seeking,medium
Kha. Pr dekhe admission form bsc radiology ka,admissions,information_seeking,medium
Mai ek best neurosurgeon ko dhundh rhi hu,general,information_seeking,high
For appointment,appointment,scheduling,medium
Kgmu opd timing,opd,scheduling,high
केजीएमयू जो टेस्ट रेट्स,general,information_seeking,high
How to take admission in diploma in cardiology technician,admissions,information_seeking,high
2026 seats isme kitti aai hai bsc nursing ki website bhejo,admissions,information_seeking,medium
I want to take admission in this college for bpt what's the eligibility and further procedure,admissions,information_seeking,medium
Septic arthritis in children suggest doctor,general,information_seeking,high
I need a appointment for yellow fever vaccination,appointment,scheduling,high
Lab report online mil sakta hai,general,information_seeking,medium
advertisement no. 53/R-2024,general,information_seeking,high
Endocrinology,general,information_seeking,high
send me the advertisement detail of notice no :153/rectt/2025,general,information_seeking,high
Admission kaise ho ga,admissions,information_seeking,medium
I want to know about mbbs admission,admissions,information_seeking,medium
Price list,general,information_seeking,medium
Nursing officer exam kabtak hoga,exams,information_seeking,medium
How to contact dean for admission,admissions,information_seeking,medium
मुझे केजीएमयू में दांतो की सर्जरी और दांतों का औरतों का इलाज करना है तो शनिवार को डॉक्टर मिलेंगे कि नहीं,general,information_seeking,high
Yahan per time bahut jyada lag raha hai koi sunane Ko taiyar nahin to koi bhi chij bolo,general,complaint,medium
First Appointment kaise le orthopedic ke doctor ke liye ?,appointment,navigation,high
मुझे एडमिशन के बारे में बात करनी है,general,information_seeking,medium
Kya mai radiology ke liye admission le sakti hu,admissions,information_seeking,high
Mujhe blood jaanch karana hai,general,scheduling,high
Bsc nursing me admission lene ke liye process kiya hai,admissions,information_seeking,medium
Kya kgmu ke blood test price pta chal skta hai,general,information_seeking,high
Last fees,fees,information_seeking,high
muze surgery main dikhana hai,departments,information_seeking,high
Not by NEET?,admissions,information_seeking,high
Iam not a kgmu student i want to apply for diploma courses at kgmu,courses,information_seeking,medium
phd in nursing is it available,courses,information_seeking,medium
Aaj opd open hai,opd,scheduling,medium
Spinal cord neurosurgeon list,general,information_seeking,high
Sir digestive system sahi nahi to kya kare,general,information_seeking,high
Non teaching exam result,exams,information_seeking,medium
Kgmu mai dmlt course h,courses,information_seeking,medium
Kgmu nursing tutor,courses,information_seeking,high
Sir plese give me information of all forms,general,information_seeking,high
Is msc available in kgmu,courses,information_seeking,medium
Provide link,general,information_seeking,medium
Vacancy nursing tutor,courses,information_seeking,medium
Today is gastro opd is available,opd,scheduling,high
3 April Exam,exams,information_seeking,medium
RCT tretment me kitna time lagega,general,information_seeking,high
BPT admission process,admissions,information_seeking,medium
Recoptnist post ke liye date btao,general,scheduling,high
Kal medicine Department me kis dr ko dekha sakte hai,departments,information_seeking,high
I want to do bsc nursing,courses,information_seeking,medium
Date 1 april,general,scheduling,high
Where is the community of health and medicine department,departments,information_seeking,high
Admission regarding call,admissions,information_seeking,medium
Dermatology OPD Date Day And Time,opd,scheduling,high
Kya BSc MIT form khul chuka hai,courses,information_seeking,high
i need to change my email id,contact,information_seeking,high
I want to book an appointment for my mother...Ho do I book it,appointment,scheduling,high
How to book appointment for patient,appointment,scheduling,medium
Best gynaecologist doctor,departments,information_seeking,high
Sir ap notice dejiye kgmu ko ki bacche paresan hai ab exam krwaye jaldi se jaldi please,exams,complaint,medium
Hii Doctor can I get the information about the charges for postmenopausal hormone replacement therapy,fees,information_seeking,high
Medical lab technician,general,information_seeking,medium
I want appointment in Neurology,appointment,scheduling,high
Abhi entrance ka form nikal gya kya 2026 me,admissions,information_seeking,medium
KGMU non-teaching staff recruitment result,exams,information_seeking,high
I am unable to book opd appointment via ORS portal online because its showing no slots available,opd,complaint,high
Number is saying busy and website isn't working,contact,information_seeking,medium
I am suffering from stone pain of kidney,general,information_seeking,high
For radiographer vacancy post,career,information_seeking,medium
mujhe bsc nursing college KGMU me addmission lena hai kon sa exam dena hoga,exams,information_seeking,medium
How to get addmission bpt course,courses,information_seeking,medium
Batchelor of blood transfusion technician,general,information_seeking,medium
BSC Nursing,courses,information_seeking,medium
how can i apply for a job in optometry deaprtment,career,information_seeking,high
Ji mujhe online appointment booking ke liye kgmu ka private phone number chaiye,appointment,information_seeking,medium
Deepak kumar death date h 25/10/2025,general,scheduling,medium
Kya kal OPD khulega,opd,information_seeking,medium
bachleor of physiotherapy,general,information_seeking,high
how can i take admission into it,admissions,information_seeking,medium
Hume appointment book karni hai,appointment,scheduling,high
generate id card,general,information_seeking,medium
I wanna know about the timing of BSC nursing classes,courses,scheduling,medium
opd lari me appointment lena hai,opd,scheduling,high
FOR YELLOW FEVER APPOINTMENT BOOK,appointment,scheduling,medium
Dr rajiv garg,general,information_seeking,medium
Admissions open for MHA?,admissions,scheduling,medium
Angiography cost?,fees,information_seeking,high
To mere ko step by step bata kya Krna h,general,information_seeking,high
Gastroenterology department ki location,departments,information_seeking,high
Dr akhil sharma opd time on Friday??,opd,scheduling,high
Mbbs admission,admissions,information_seeking,medium
Which bsc courses are in this college,courses,information_seeking,medium
I wana know about bsc optometry,courses,information_seeking,medium
Mere husband ko job krni hain opd mein parcha wale mein,opd,information_seeking,medium
What is the notice regarding compulsory mbbs rural bond service,courses,information_seeking,medium
Want to know msso exam date,exams,scheduling,medium
"Is there is any course , Kgmu provide ( BSc. In biotechnology)?",courses,information_seeking,medium
Any other options for booking appointment,appointment,scheduling,medium
Lab report kaise download kare,general,information_seeking,medium
Diploma course after 12th,courses,information_seeking,medium
Dmlt main admission,admissions,information_seeking,high
Dr sudhir,general,information_seeking,high
Aapke hospital mein dialysis karvane per aayushman se free davan milati hai kya,general,information_seeking,high
Mujhe radiology ke course ke liye admission lena hai,admissions,information_seeking,high
Want to contact councellor related to addmission,contact,navigation,high
Tell me syllabus,exams,information_seeking,medium
Not received joining letter,general,complaint,medium
share me helpline number,emergency,information_seeking,medium
Mujhe medical college me job karni hai ward boy ki vacancy kha se pata kre,career,information_seeking,medium
Result for paramedical,exams,information_seeking,high
How can I take appointment,appointment,scheduling,high
Mujhe dr r a s kushwaha ka aaj ka old schedule chahiye kya wo aaj opd me baithenge,opd,information_seeking,high
अभी कितनी है mess fees monthly ya yearly,fees,information_seeking,medium
Erectile dysfunction kis OPD me dikhay,opd,information_seeking,high
What is the process to access for Course of bsc nursing,courses,information_seeking,high
looking for a Gastroenterologist (specialist in stomach and intestines),general,information_seeking,high
Assistant security officer exam date announced before 30 days because leave sanctioned Krna pdega,exams,scheduling,high
Diploma in Emergency and Trauma Care Technician,courses,information_seeking,high
डॉ नीरज sir opd date,opd,information_seeking,high
DMLT ya DOTT me addmission ke kitne average percentage hone chahiye OBC category ke liye,general,information_seeking,high
क्या 26/032026 OPD गठिया विभाग खुलेगा,opd,scheduling,high
How to apply and when is held any notification,career,scheduling,high
How many day after vacancy coming for ot technician,career,information_seeking,high
Nursing tutor vacancy recruitment form,courses,information_seeking,medium
I want to take admission in bsc nursing at vivekanand,admissions,information_seeking,medium
yellow fever vaccination,general,information_seeking,high
Multiple various post examination,exams,information_seeking,medium
BSc radiology admission start or not,admissions,information_seeking,medium
I want to do bmlt,general,information_seeking,medium
Mere ko opd me neuro wale dr ko dhikna hai,opd,scheduling,high
What will be the admission process,admissions,information_seeking,high
Pre booking,general,scheduling,high
i forgot my registration number of examinion form non teaching lab technician,appointment,information_seeking,medium
online appointment dr.cardiologist se kaise kare,appointment,scheduling,high
can you provide me the url or link,general,information_seeking,medium
Admission bsc rodiology,admissions,information_seeking,medium
How to get appointment in opd,opd,information_seeking,high
What marks I need to get in neet ug 2026 to get kgmu,admissions,information_seeking,high
Mujhe kgmu me admission lena h of diploma in cardiac care technology. To kya process h...?,admissions,information_seeking,high
To day emergency surgery available hi kya,departments,information_seeking,high
Sir paramedical course open hai ?,courses,scheduling,medium
Dr Abhishek Bahadur’s opd days?,opd,information_seeking,high
Senior resident job vaccancy,career,information_seeking,high
BSC nursing me addmission kaise ho Raha hai,courses,information_seeking,medium
B pharma course details 2025-26,departments,information_seeking,medium
When will non teaching post dialysis technician joining?,general,information_seeking,medium
This examination conducted in every year,exams,information_seeking,high
Aaj yellow fever vaccination possible hai kya,general,information_seeking,high
सर मुझे ये जानकारी चाहिए कि yellow fever vaccine ke liye appointment kese lena hoga उसमें slot open nhi dikh rha h koi bhi emergency h please help,appointment,scheduling,high
Online registration for today,appointment,scheduling,high
Give me the information regarding admission on BPT and BMLS courses,admissions,information_seeking,high
yellow fiver vaccination available,general,information_seeking,medium
Cancer विभाग,general,information_seeking,high
Gastro Dr available,general,information_seeking,high
Diploma in opretion theatre technician,courses,information_seeking,high
I want to know about opd registration,opd,information_seeking,high
Nhi ye batao ki nursing ki vacany aayi h ki nhi,courses,information_seeking,medium
1 yr ho gya form fill kiye abhi tk exam nhi krwaya gyaa aise thodi na hota hai hm baccho ke sath aise nhi kr skte,exams,complaint,medium
Kgmu staff nurse nursing officer ka exam kab hoga,exams,information_seeking,high
Urologist OPD,opd,information_seeking,high
How to apply online appointment child,appointment,scheduling,high
Diploma in lab technician me admission kaise le,admissions,information_seeking,medium
Direct admission kase le 12 ke mark pe,admissions,information_seeking,medium
Mujhe anm m admission lena h,admissions,information_seeking,medium
Tell me about nursing recruitment,courses,information_seeking,high
admission kaise kare,admissions,information_seeking,medium
Pediatric mein Mande ko kaun se doctor rahte hain vah PD mein,departments,information_seeking,high
KGMU ki nursing officer ki exam date kb tk aayegi,exams,scheduling,medium
Urology opd on Wednesday,opd,information_seeking,high
How to book an OPD of cardiology for tomorrow,opd,information_seeking,high
Diploma in psychiatry,departments,information_seeking,high
what is admission process of Bpt in kgmu,admissions,information_seeking,medium
Is there any scholarship for bsc nursing students,fees,information_seeking,medium
Masters courses,courses,information_seeking,medium
Appointment Leni hai,appointment,scheduling,medium
2026 online addmission from kb niklega,general,information_seeking,medium
Is psychiatry and psychological opd different in kgmu,opd,information_seeking,high
Can I apply as Ot technician from west bengal,career,information_seeking,high
Iha pr best nephrologist kon kon hai,general,information_seeking,high
When is lab technician paper 2026,exams,scheduling,medium
Mujhe ek Ganje ki Nashe se vyakti ko Mukt Karana Hai Kya Karen,general,information_seeking,high
Pcpndt form fillup,general,information_seeking,high
Give me contact number,contact,information_seeking,high
Is laproscopic surgery or ureter stone done in kgmu???,departments,information_seeking,high
Nursing officer 733 vacancy wala kb hoga,courses,information_seeking,medium
can i get opd registration online,opd,information_seeking,high
the contact person for meeting queries,contact,information_seeking,high
Form ka pata karna ha 2025 bale jo 2025 mein jo vecancy nikali Thi nurse wali uske form mein,general,information_seeking,medium
ADMISSION PROCESS ?,admissions,information_seeking,medium
Kya aapki hospital mae dr.aditya pandey naam ka gastroenterologist specialist dr. H,general,information_seeking,high
Docter schedule in rehmetology department,departments,scheduling,high
Job ke liye apply kaise kare,career,information_seeking,medium
Mujhe bsc nursing 4 th year ka shedule pata krna hai,courses,information_seeking,medium
mujhe pediatric neurology ke doctor ke bare me jankari karni hai,departments,information_seeking,high
b12 test price,general,information_seeking,medium
हमें डर्मेटोलॉजिस्ट को दिखाना है तो हेल्प करे,general,information_seeking,high
When was final year mbbs exam conducted in 2024,exams,information_seeking,high
Any helpful links,general,information_seeking,high
I want appointment for 13 march,appointment,scheduling,medium
उल्टी और चक्कर की दिक्कत हो की विभाग में दिखाएं,general,information_seeking,high
Teeth cap available in kgmu,general,information_seeking,high
UHID online कार्ड बन सकता है,general,information_seeking,medium
अगर यूरोलॉजी विभाग में दिखाना हो तो कैसे दिखाई,general,information_seeking,high
मरीज को दिखानाहै,general,information_seeking,high
Mera bsc nursing scrutiny ka result aaya koi change nhi h mujhe further action lena h kya kru,exams,information_seeking,high
Kgmu nursing salary,courses,information_seeking,medium
dr. p k sharma neurology hai abhi ki nhi,departments,information_seeking,high
Nursing officer level-7 exam date,exams,scheduling,medium
Kgmu nursing officer 2026 ki exam date,exams,information_seeking,medium
Make a appointment for today with cardiologist in lauri,appointment,scheduling,high
Ot assistant ki vacancy hai kya?,career,information_seeking,medium
Lab report vali site open nahi ho rahi hai,general,complaint,high
Schedule of dr vivek Aggrawal,general,information_seeking,high
"And if any topic is broken, please let me know.",general,information_seeking,high
1 month se try kar raha hoon,general,information_seeking,high
How to download non teaching recruitment admit card,career,information_seeking,medium
for gyconolist?,general,information_seeking,high
Trama centre ke senior doctor ka contact number send kardijiye,contact,information_seeking,high
For the bsc Hons courses,courses,information_seeking,medium
Skin warts problem,general,information_seeking,high
Bds admissions,admissions,information_seeking,medium
Kgmu nursing office exam ke date kv h,exams,scheduling,high
nursing tutor recuritmnt,courses,information_seeking,medium
Why trouble connecting,general,information_seeking,high
Kgmu various post receptionist exam date kya hai,exams,scheduling,medium
I want to take apponment,general,scheduling,high
paramedical admission link,admissions,information_seeking,medium
Apply krne k liye kiya kiya dorkar hai,career,information_seeking,high
Phamamcy grade 2,exams,information_seeking,medium
Whar are the opd scheduled of ent department,opd,information_seeking,high
Kon kon se Paramedical Course hai,courses,information_seeking,medium
Kgmu non teaching dental hygienist 2024 ka admit card aa gya hai,general,information_seeking,high
Dermotologist ko no lagana hai,general,information_seeking,high
Kya kal opd khulla rahega,opd,information_seeking,medium
When the form will be submit for diploma in ultrasound,courses,scheduling,medium
How many time after document verification joining,general,scheduling,medium
Can you tell me the duration of prof HS Pawaha urologist in kgmu,general,information_seeking,high
Mujhe nursing related post me fill Krna hai .. mujhe age bta skte ho,courses,information_seeking,medium
Online Gastro Ke Liye Registration Karna Tha,appointment,information_seeking,high
Online registration me online payment karne ke baad sidhe opd me dikhana hota hai?,opd,information_seeking,high
Mujhe Janna h ki DMLT ka from aa gaya h ya nhi,general,information_seeking,medium
Opd me online opponent kaise kare,opd,information_seeking,medium
Medicine tender department,departments,information_seeking,medium
Is there BPT course?,courses,information_seeking,medium
Please share Dr.rajkumar Maurya email ids,contact,information_seeking,high
What's the admission process for bpt course in 2026,admissions,information_seeking,medium
Kgmu me bpt me admission kaise hoga ?,admissions,information_seeking,medium
Kya ap bta skte hai dr rajeev verma opd me kis din bethte hai,opd,information_seeking,medium
I wish to work as SR in cardiology department,departments,information_seeking,high
Tab sir aap kgmu se related kya bata sakte hai,general,information_seeking,high
Paramedical course detail,courses,information_seeking,medium
How can I get bpt course admission?,admissions,information_seeking,medium
Is there the PET CT scan facility available in the hospital,general,information_seeking,high
"Who is the CMS, MS, DMS",faculty,information_seeking,high
Is KGMU a government college,general,information_seeking,medium
mujhe aaj pediatric me appointment chahiye kya krna hoga,appointment,scheduling,high
Dr SK Dwivedi lari mein kis din baithte Hain OPD mein in,opd,scheduling,high
How can I book an appointment on Monday,appointment,information_seeking,high
Bsc in radiology,departments,information_seeking,high
How many anaesthesia technicians in kgmc and associated hospital,general,information_seeking,high
Gynae doctor sankhwar mam date in opd and day,opd,scheduling,high
Where to go to booking appointment offline,appointment,scheduling,medium
Niuro ke doctor,general,information_seeking,high
Bs.c nursing entrance exam,admissions,information_seeking,high
Ctvs department Dr. Vivek Tiwarson,departments,information_seeking,high
Link of admit card non teaching exam,exams,information_seeking,medium
I have search and I came to know ki kgmu me upsmfac se admission hota hai in DMLT and OT technician. To meri 10th and 12th ki combined percentage kitni honi chahiye,admissions,information_seeking,medium
Book an appointment for cancer patient,appointment,scheduling,high
KGMU Doctor names who can do Appendix Surgery,faculty,information_seeking,high
Does they offer bpt and b pharm courses,courses,information_seeking,high
Bpt hai koi form aaya hai,general,information_seeking,medium
Ek baar phir pura address bata de waha ka,campus,navigation,high
Kya dmlt ka course kgmu me nahi hai?,courses,information_seeking,high
Lucknow kgmu,general,information_seeking,high
Neuro,general,information_seeking,high
Kgmu nursing officer ka exam kab hoga,exams,scheduling,high
Humko appointment book karni hai,appointment,scheduling,medium
How registration done,appointment,information_seeking,medium
Mere pass koi referral nhi hai aur mai lucknow se bahar ka hu kya mera ilaj ho jaega,general,information_seeking,high
Main online report medical lab test report kaise nikale,general,information_seeking,high
कृपया सायकेट्री डिपार्मेंट के चाइल्ड वार्ड वाले बिल्डिंग में पीने के ठंडे पानी की व्यवस्था खराब हो गई है जिससे यहां भर्ती मरीजों और उनके अटेंडेंट को पानी की बहुत दिक्कत हो रही है कृपया उसे दुरुस्त कर पीने के ठंडे पानी की व्यवस्था सुनिश्चित करें धन्यवाद,general,complaint,high
I want to treatment of myself in kgmu,general,information_seeking,high
I want counseling for my 40 year elder brother whta I do,admissions,information_seeking,high
How I can apply for appointment,appointment,scheduling,medium
Bal rog vivag 403,general,navigation,high
Online book opd,opd,scheduling,high
Recruitment of assistant professor in dentistry,faculty,information_seeking,high
Kgmu mai dmlt mai admission kise hoga,admissions,information_seeking,medium
Bmlt me dairect admission ho jaega,admissions,information_seeking,medium
Admission kaise lenge BDS me??,admissions,information_seeking,medium
KUGM me Admission karene ke liye kitana paise lagta hai,admissions,information_seeking,medium
Where I can found that,general,navigation,medium
list of medicine dr.,departments,information_seeking,high
Pls chk admit card nursing officee,courses,information_seeking,medium
DEEPAK KUMAR death date 25/10/2025,general,scheduling,medium
Kgmu me blood report kitne din baad ata hai,general,information_seeking,high
Dentist opd pooja panday,opd,information_seeking,high
Yellow fever ka date kb ka milaga ga,general,information_seeking,high
Humko dmlt me admission karwana h,admissions,information_seeking,medium
Report,general,information_seeking,medium
Nursing tutor me experience bhi chahiye kya,courses,information_seeking,medium
How to admit process,general,information_seeking,medium
How to get admission form for bsc radiology,admissions,information_seeking,high
Bsc Nursing,courses,information_seeking,medium
Mphill admission 2025,admissions,information_seeking,medium
Online consultation token kaise milta h,general,scheduling,high
Indocrine deptmarnt me not good stuff meen singh,general,complaint,medium
In pediatrics dental department dr r k panday take opd on Thursday,opd,scheduling,high
Gastro,general,information_seeking,high
Hi how can I apply to study at kgmu,career,information_seeking,medium
Admission elegibility department email id,admissions,information_seeking,medium
Cms ok kgmu,general,information_seeking,high
Dr HARDEEP SINGH malhotra opd schdule,opd,scheduling,high
Eye care,general,information_seeking,high
Mujhe appointment book karana hai,appointment,scheduling,medium
Dmlt course ke admission kabse shuru honge?,admissions,information_seeking,medium
Muja ya jana hai ki eye diploma ki fees kitne hai total,fees,information_seeking,medium
i have query regarding bds admission this year,admissions,information_seeking,medium
Mujhe cpet ka question paper chahiye pyq,exams,information_seeking,medium
Where to fill the form of kgmu to opt in bpt,general,information_seeking,medium
Opretion theatre technician course,courses,information_seeking,medium
KGMU NURSING COLLEGE KA ADDRASE SEND KIJIYE,courses,information_seeking,medium
Are BPT seats still available?,admissions,information_seeking,medium
CNET main nhi pass ho paying hu,general,information_seeking,medium
Requirement details,general,information_seeking,medium
Mujhe online registration lena hai 19 Tarik ke liya OPD,opd,information_seeking,medium
I want to do bpt from kgmu is it is available,general,information_seeking,medium
Agr isse appointment book kre to kya vha prcha banvana pdega ?,appointment,information_seeking,high
I want to know the admission for bsc in radiology,admissions,information_seeking,medium
Dr prefix add or not and fee for this course and job,fees,information_seeking,medium
Want to apply for nursing tutor,courses,information_seeking,high
How much time,general,information_seeking,high
Appointment chahie,appointment,scheduling,high
general surgery,departments,information_seeking,high
Does this university have masters in physiotherapy,general,information_seeking,high
PG admission,admissions,information_seeking,medium
Nursing officer job notification,courses,information_seeking,medium
सर मरीज इमरजेंसी में दिखाना है,general,information_seeking,high
Bladder mera kamjor hai age 18sal sir par 3sal se chot lage thr the sir ki upar nase niche upar hoti hai,general,information_seeking,high
When is nursing officer exam,exams,scheduling,medium
Ct scan report कैसे प्राप्त करे,general,information_seeking,high
what is the date for examination of nursing officer',exams,scheduling,medium
Ministry of health and medical education,general,information_seeking,high
Gynaecologist opd,opd,information_seeking,high
Fee kitne lagte hai,fees,information_seeking,medium
i want kgmu bsc nursing question paper,exams,information_seeking,medium
How can I take appointment for cardiology,appointment,scheduling,high
Kgmu nursing officer ka exam kab tak lagega,exams,scheduling,high
Queen mary mai OPD dikhana hai,opd,information_seeking,medium
Mujhe appointment Lena hai meri madat karo,appointment,scheduling,medium
list of medicine department dr. with degree please tell me,departments,information_seeking,high
Orthopedics me dr. Devershi Rastogi opd day,opd,information_seeking,high
Eska entrance exam ka form kab ata hai,admissions,information_seeking,medium
Hamare father ka discharge pepar kho gaya hai wo dowara kaese milega,general,information_seeking,high
Today orthopedic opd open,opd,scheduling,high
Bsc. Radiotherapy Technology,courses,information_seeking,medium
Nursing officer 2025,courses,information_seeking,medium
Lab technician ki koi vecancy hai,general,information_seeking,high
How to get bsc nursing admission,admissions,information_seeking,medium
Online number,contact,information_seeking,high
Your personal agenda,general,information_seeking,high
Any expected date of nursing officer exam,exams,scheduling,medium
Dental vacancy,career,information_seeking,high
Cystolozey charge,fees,information_seeking,high
Nephrology,general,information_seeking,medium
DMRIT form are out,general,information_seeking,medium
Gallbladder stone ka operation kerala,general,information_seeking,high
mbbs admission,admissions,information_seeking,medium
KGmu me gnm core hai,general,information_seeking,medium
sir registration Option is not open,appointment,scheduling,high
Mujhe ye batao dylsiai tecnition me for kaise apply karo kar kaob hoga,career,information_seeking,high
Tiffa ka best time kya hai pregnancy me,general,information_seeking,high
Plastic surgery cost,fees,information_seeking,high
Sit khali hai,general,information_seeking,medium
Bpt ke liye kaun sa course hai,courses,information_seeking,medium
Mai kgmu me piliya ka upchar kha kara sakta hu,general,information_seeking,high
Anm nurse,general,information_seeking,high
Mha application,general,information_seeking,medium
डीएल टीम में एडमिशन कब से चालू है और मेरे 80% हैं मेरिट में एडमिशन नहीं होगा हिंदी मेंबताइए,general,information_seeking,medium
Technical officers ophthalmology level 6,departments,information_seeking,high
Today opd are opend,opd,information_seeking,medium
Mujhe sanvida pr job pharmacist ki chahiy,departments,information_seeking,medium
Nhii bs mujhe kuchh bhi kr ke us university me admission lena hai please,admissions,information_seeking,medium
Does kgmu offers bpt programme,courses,information_seeking,medium
Form fill hore h nursing tutor k,courses,information_seeking,medium
And dialysis cost? Kitni hogi,fees,information_seeking,high
Sir mujhe paralysis ho gaya hai,general,complaint,high
Kgmu bpt addmission form,general,information_seeking,high
kis exam,exams,information_seeking,medium
Dr arvind from gastro department,departments,information_seeking,high
मानसिक रोग बच्चे को दिखाना है किस डॉक्टर को दिखाये,general,information_seeking,high
Online registration karwana hai,appointment,scheduling,high
To bina registration ke nhi mil skte kya,appointment,information_seeking,high
मै अपनी पत्नी को कल पहली बार opd मे दिखाना चाहता हू,opd,information_seeking,medium
Kya kal demartology department open hai,departments,scheduling,high
OPD ki parchi banvani hai,opd,information_seeking,high
Need.a.yake admission,admissions,information_seeking,medium
Bsc nursing program relate information,courses,information_seeking,high
Kya neurology 2 floor per bhi hai,departments,information_seeking,high
regarding form of exam support number,exams,information_seeking,medium
